,Дата,За 0 дней,За 1 дней,За 2 дней,За 3 дней,За 4 дней,За 5 дней,За 6 дней,fact,city
0,2025-10-23,1.0,,,,,,,,Москва
1,2025-10-24,1.0,1.0,,,,,,,Москва
2,2025-10-25,1.0,1.0,1.0,,,,,0.0,Москва
3,2025-10-26,1.0,1.0,1.0,1.0,,,,0.0,Москва
4,2025-10-27,1.0,1.0,1.0,1.0,1.0,,,0.0,Москва
5,2025-10-28,1.0,1.0,1.0,2.0,2.0,2.0,,2.0,Москва
6,2025-10-29,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Москва
7,2025-10-30,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,Москва
8,2025-10-31,2.0,2.0,2.0,2.0,0.0,1.0,,2.0,Москва
9,2025-11-01,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,Москва
10,2025-11-02,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,Москва
11,2025-11-03,2.0,1.0,1.0,1.0,2.0,1.0,,0.0,Москва
12,2025-11-04,2.0,2.0,1.0,1.0,1.0,2.0,,1.0,Москва
13,2025-11-05,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,Москва
14,2025-11-06,1.0,1.0,1.0,1.0,1.0,0.0,,2.0,Москва
15,2025-11-07,1.0,1.0,1.0,0.0,0.0,0.0,,1.0,Москва
16,2025-11-08,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,Москва
17,2025-11-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Москва
18,2025-11-10,1.0,1.0,1.0,1.0,0.0,1.0,,0.0,Москва
19,2025-11-11,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,Москва
20,2025-11-12,1.0,1.0,1.0,1.0,1.0,0.0,,2.0,Москва
21,2025-11-13,1.0,1.0,1.0,0.0,0.0,0.0,,,Москва
22,2025-11-14,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,Москва
23,2025-11-15,3.0,2.5,2.5,0.0,0.0,2.0,,0.0,Москва
24,2025-11-16,0.0,0.0,0.0,0.0,0.0,0.0,,,Москва
25,2025-11-17,3.0,3.0,3.0,0.0,0.0,1.0,,3.0,Москва
26,2025-11-18,3.0,2.5,2.0,2.0,0.0,2.0,,2.0,Москва
27,2025-11-19,0.0,0.0,0.0,0.0,0.0,0.0,,,Москва
28,2025-11-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Москва
29,2025-11-21,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,Москва
30,2025-11-22,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,Москва
31,2025-11-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Москва
32,2025-11-24,2.0,2.0,2.0,0.0,0.0,0.0,,1.0,Москва
33,2025-11-25,0.0,0.0,0.0,0.0,0.0,0.0,,,Москва
34,2025-11-26,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,Москва
35,2025-11-27,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,Москва
36,2025-11-28,2.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,Москва
37,2025-11-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Москва
38,2025-11-30,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Москва
39,2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Москва
40,2025-12-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Москва
41,2025-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Москва
42,2025-12-04,0.0,0.0,1.0,1.0,0.0,0.0,,,Москва
43,2025-12-05,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,Москва
44,2025-12-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Москва
45,2025-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Москва
46,2025-12-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Москва
47,2025-12-09,3.0,3.0,0.0,0.0,0.0,0.0,,0.0,Москва
48,2025-12-10,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Москва
49,2025-12-11,3.0,1.0,1.0,0.0,0.0,0.0,,2.0,Москва
50,2025-12-12,3.0,2.5,3.0,0.0,0.0,2.0,,3.0,Москва
51,2025-12-13,3.0,3.0,3.0,3.0,0.0,0.0,,3.0,Москва
52,2025-12-14,0.0,0.0,0.0,0.0,3.0,0.0,,,Москва
53,2025-12-15,3.0,0.0,3.0,0.0,0.0,3.0,,0.0,Москва
54,2025-12-16,3.0,3.0,0.0,3.0,3.0,0.0,,0.0,Москва
55,2025-12-17,2.0,0.0,0.0,0.0,0.0,3.0,,0.0,Москва
56,2025-12-18,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,Москва
57,2025-12-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Москва
58,2025-12-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Москва
59,2025-12-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Москва
60,2025-12-22,3.0,3.0,3.0,3.0,0.0,0.0,,3.0,Москва
61,2025-12-23,0.0,3.0,3.0,0.0,3.0,0.0,,0.0,Москва
62,2025-12-24,3.0,3.0,3.0,3.0,0.0,0.0,,3.0,Москва
63,2025-12-25,3.0,3.0,3.0,3.0,3.0,0.0,,2.0,Москва
64,2025-12-26,3.0,3.0,3.0,0.0,0.0,0.0,,,Москва
65,2025-12-27,3.0,3.0,3.0,3.0,3.0,0.0,,0.0,Москва
66,2025-12-28,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,Москва
67,2025-12-29,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,Москва
68,2025-12-30,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,Москва
69,2025-12-31,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,Москва
70,2026-01-01,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,Москва
71,2026-01-02,,3.0,3.0,3.0,3.0,0.0,,3.0,Москва
72,2026-01-03,,,3.0,3.0,3.0,3.0,,3.0,Москва
73,2026-01-04,,,,3.0,3.0,3.0,,3.0,Москва
74,2026-01-05,,,,,3.0,3.0,,0.0,Москва
75,2026-01-06,3.0,,,,,0.0,,0.0,Москва
76,2026-01-07,3.0,3.0,,,,,,3.0,Москва
77,2026-01-08,3.0,3.0,3.0,,,,,0.0,Москва
78,2026-01-09,3.0,3.0,3.0,3.0,,,,3.0,Москва
79,2026-01-10,3.0,3.0,3.0,3.0,3.0,,,0.0,Москва
80,2026-01-11,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,Москва
81,2026-01-12,3.0,3.0,3.0,3.0,3.0,0.0,,0.0,Москва
82,2026-01-13,3.0,3.0,3.0,3.0,3.0,0.0,,0.0,Москва
83,2026-01-14,3.0,3.0,3.0,3.0,3.0,0.0,,3.0,Москва
84,2026-01-15,3.0,3.0,3.0,3.0,3.0,0.0,,,Москва
85,2026-01-16,0.0,0.0,0.0,3.0,3.0,3.0,,0.0,Москва
86,2026-01-17,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,Москва
87,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Москва
88,2026-01-19,3.0,3.0,3.0,3.0,3.0,0.0,,3.0,Москва
89,2026-01-20,3.0,3.0,3.0,3.0,3.0,3.0,,0.0,Москва
90,2026-01-21,3.0,3.0,3.0,3.0,3.0,0.0,,,Москва
91,2026-01-22,3.0,3.0,3.0,3.0,3.0,0.0,,,Москва
92,2026-01-23,0.0,3.0,0.0,3.0,3.0,3.0,,,Москва
93,2026-01-24,0.0,0.0,0.0,0.0,0.0,0.0,,,Москва
94,2026-01-25,0.0,0.0,0.0,3.0,0.0,0.0,,0.0,Москва
95,2026-01-26,3.0,3.0,3.0,0.0,3.0,3.0,,0.0,Москва
96,2026-01-27,3.0,3.0,3.0,3.0,3.0,3.0,,,Москва
97,2026-01-28,3.0,3.0,3.0,3.0,3.0,0.0,,,Москва
98,2026-01-29,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,Москва
99,2026-01-30,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,Москва
100,2026-01-31,3.0,3.0,3.0,3.0,3.0,3.0,,0.0,Москва
101,2026-02-01,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,Москва
102,2026-02-02,3.0,3.0,3.0,3.0,3.0,3.0,,0.0,Москва
103,2026-02-03,0.0,3.0,3.0,3.0,3.0,3.0,3.0,,Москва
104,2026-02-04,0.0,0.0,3.0,3.0,3.0,0.0,,,Москва
105,2026-02-05,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,Москва
106,2026-02-06,3.0,3.0,3.0,3.0,0.0,0.0,,0.0,Москва
107,2026-02-07,3.0,3.0,3.0,3.0,3.0,0.0,,0.0,Москва
108,2026-02-08,0.0,3.0,3.0,3.0,3.0,0.0,,,Москва
109,2026-02-09,3.0,3.0,3.0,3.0,3.0,0.0,,0.0,Москва
110,2026-02-10,3.0,3.0,3.0,3.0,3.0,3.0,,0.0,Москва
