,За 0 дней,За 1 дней,За 2 дней,За 3 дней,За 4 дней,За 5 дней,За 6 дней,За 7 дней,За 8 дней,За 9 дней
2025-10-23,0.0,,,,,,,,,
2025-10-24,2.0,0.0,,,,,,,,
2025-10-25,0.0,0.0,2.0,,,,,,,
2025-10-26,2.0,2.0,0.0,2.0,,,,,,
2025-10-27,2.0,0.0,2.0,2.0,2.0,,,,,
2025-10-28,2.0,2.0,2.0,2.0,2.0,2.0,,,,
2025-10-29,2.0,2.0,0.0,2.0,2.0,2.0,2.0,,,
2025-10-30,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,,
2025-10-31,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,3.0,
2025-11-01,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0
2025-11-02,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0
2025-11-03,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0
2025-11-04,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2025-11-05,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0
2025-11-06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
2025-11-07,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0
2025-11-08,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2025-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-10,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0
2025-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-12,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
2025-11-13,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0
2025-11-14,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0
2025-11-15,3.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,2.0,0.0
2025-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2025-11-17,2.0,0.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,0.0
2025-11-18,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
2025-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2025-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-21,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
2025-11-22,3.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0
2025-11-23,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,2.0
2025-11-24,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2025-11-25,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
2025-11-26,0.0,0.0,2.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0
