,Дата,За 0 дней,За 1 дней,За 2 дней,За 3 дней,За 4 дней,За 5 дней,За 6 дней,За 7 дней,За 8 дней,За 9 дней,fact
0,2025-10-23,0.0,,,,,,,,,,
1,2025-10-24,0.0,0.0,,,,,,,,,
2,2025-10-25,0.0,0.0,0.0,,,,,,,,0
3,2025-10-26,0.0,2.0,0.0,0.0,,,,,,,0
4,2025-10-27,0.0,0.0,2.0,0.0,0.0,,,,,,0
5,2025-10-28,2.0,0.0,2.0,2.0,2.0,0.0,,,,,0
6,2025-10-29,2.0,2.0,2.0,0.0,2.0,0.0,2.0,,,,0
7,2025-10-30,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,,
8,2025-10-31,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2
9,2025-11-01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0
10,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,2025-11-04,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2
13,2025-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,2025-11-06,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1
15,2025-11-07,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0
16,2025-11-08,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0,0
17,2025-11-09,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
18,2025-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
19,2025-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20,2025-11-12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,2025-11-13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,
22,2025-11-14,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,3.0,0
23,2025-11-15,2.5,2.5,2.5,0.0,2.5,0.0,2.0,0.0,2.0,0.0,3
24,2025-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
25,2025-11-17,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,3
26,2025-11-18,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.5,3.0,0.0,2
27,2025-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
28,2025-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0
29,2025-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30,2025-11-22,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,0
31,2025-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
32,2025-11-24,2.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,1
33,2025-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,3.0,
34,2025-11-26,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.5,3
35,2025-11-27,0.0,0.0,2.0,2.0,2.0,2.0,2.5,2.0,2.0,3.0,1
36,2025-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
37,2025-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38,2025-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
39,2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40,2025-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
41,2025-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
42,2025-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
43,2025-12-05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44,2025-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45,2025-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
46,2025-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
47,2025-12-09,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0
