,За 0 дней,За 1 дней,За 2 дней,За 3 дней,За 4 дней,За 5 дней,За 6 дней
2026-04-27,1.0,,,,,,
2026-04-28,4.0,0.0,,,,,
2026-04-29,4.0,4.0,1.0,,,,
2026-04-30,5.0,5.0,5.0,2.0,,,
2026-05-01,7.0,7.0,8.0,7.0,5.0,,
2026-05-02,6.0,6.0,6.0,6.0,5.0,,
2026-05-03,4.0,5.0,5.0,5.0,4.0,5.0,
2026-05-04,6.0,6.0,6.0,7.0,6.0,6.0,7.0
2026-05-05,4.0,5.0,5.0,5.0,5.0,4.0,5.0
2026-05-06,7.0,7.0,7.0,7.0,7.0,6.0,7.0
2026-05-07,8.0,7.0,7.0,7.0,7.0,8.0,6.0
2026-05-08,,10.0,10.0,8.0,7.0,5.0,6.0
2026-05-09,8.0,,8.0,7.0,5.0,6.0,4.0
2026-05-10,5.0,5.0,,6.0,5.0,6.0,7.0
2026-05-11,8.0,8.0,7.0,,8.0,9.0,8.0
2026-05-12,9.0,7.0,7.0,6.0,,7.0,6.0
2026-05-13,9.0,10.0,9.0,8.0,8.0,,4.0
2026-05-14,7.0,7.0,7.0,7.0,8.0,7.0,
2026-05-15,7.0,8.0,8.0,7.0,8.0,8.0,9.0
2026-05-16,9.0,9.0,10.0,9.0,10.0,10.0,7.0
2026-05-17,8.0,8.0,9.0,9.0,9.0,8.0,9.0
2026-05-18,10.0,9.0,9.0,10.0,11.0,10.0,10.0
2026-05-19,8.0,9.0,8.0,8.0,7.0,9.0,8.0
2026-05-20,9.0,9.0,9.0,11.0,10.0,8.0,6.0
2026-05-21,11.0,11.0,11.0,11.0,11.0,12.0,9.0
2026-05-22,13.0,13.0,12.0,12.0,12.0,13.0,13.0
2026-05-23,14.0,13.0,15.0,13.0,12.0,13.0,12.0
2026-05-24,14.0,12.0,12.0,13.0,14.0,11.0,11.0
2026-05-25,8.0,8.0,9.0,9.0,10.0,11.0,7.0
2026-05-26,15.0,16.0,18.0,18.0,17.0,15.0,11.0
2026-05-27,14.0,13.0,14.0,12.0,13.0,15.0,9.0
2026-05-28,15.0,15.0,14.0,13.0,13.0,11.0,13.0
2026-05-29,9.0,9.0,10.0,10.0,12.0,11.0,10.0
2026-05-30,8.0,7.0,9.0,7.0,8.0,7.0,8.0
2026-05-31,9.0,8.0,9.0,8.0,8.0,8.0,8.0
2026-06-01,10.0,9.0,10.0,9.0,8.0,7.0,9.0
2026-06-02,11.0,10.0,11.0,10.0,10.0,9.0,9.0
2026-06-03,10.0,9.0,10.0,10.0,10.0,9.0,10.0
2026-06-04,9.0,9.0,10.0,10.0,10.0,9.0,12.0
2026-06-05,9.0,9.0,10.0,10.0,10.0,9.0,11.0
2026-06-06,12.0,12.0,12.0,12.0,12.0,12.0,14.0
2026-06-07,13.0,13.0,13.0,13.0,13.0,13.0,14.0
2026-06-08,13.0,13.0,16.0,14.0,13.0,16.0,14.0
2026-06-09,13.0,14.0,15.0,14.0,14.0,14.0,15.0
2026-06-10,8.0,8.0,8.0,8.0,8.0,9.0,10.0
2026-06-11,11.0,11.0,12.0,12.0,10.0,11.0,11.0
2026-06-12,14.0,13.0,15.0,13.0,13.0,12.0,12.0
2026-06-13,13.0,13.0,12.0,12.0,11.0,13.0,12.0
2026-06-14,11.0,10.0,11.0,11.0,11.0,12.0,11.0
